English ,Portuguese
your,seu
you,você
year,ano
would,seria
work,trabalhar
with,com
will,vai
who,Quem
which,qual
when,quando
what,o que
well,bem
we,nós
way,caminho
want,querer
use,usar
us,nós
up,acima
two,dois
to,para
time,tempo
this,esse
think,pensar
they,eles
these,esses
there,lá
then,então
them,eles
their,deles
the,o
that,que
than,que
take,pegar
some,alguns
so,então
she,ela
see,ver
say,dizer
people,pessoas
over,sobre
out,fora
our,nosso
other,outro
or,ou
only,apenas
one,um
on,sobre
of,de
now,agora
not,não
no,não
new,novo
my,meu
most,maioria
me,meu
make,fazer
look,olhar
like,como
know,saber
just,apenas
its,isso é
it,isto
into,em
in,em
if,se
I,EU
how,como
his,dele
him,ele
her,dela
he,ele
have,ter
good,bom
go,ir
give,dar
get,pegar
from,de
for,para
first,primeiro
even,até
do,fazer
day,dia
could,poderia
come,vir
can,pode
by,por
but,mas
because,porque
be,ser
back,voltar
at,no
as,como
any,qualquer
and,e
an,um
also,também
all,todos
after,depois
about,sobre
a,a
